gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId
28500815,1986-03-22 20:00:00,Cleveland,Cavaliers,1610612739,Chicago,Bulls,1610612741,1,1,123,97,31,4,4,88,47,0.534,4,3,0.75,45,26,0.578,32,16,48,32,13,26,240,,,,,,,,,,,,,,,,,
20500021,2005-11-04 19:00:00,Charlotte,Bobcats,1610612766,Philadelphia,76ers,1610612755,0,1,110,93,30,3,7,88,41,0.466,8,4,0.5,32,24,0.75,33,15,48,25,13,17,240,,,,,,,,,,,,,,,,,
29100958,1992-03-29 20:00:00,Boston,Celtics,1610612738,Atlanta,Hawks,1610612737,1,1,117,93,38,12,5,88,54,0.614,8,3,0.375,10,6,0.6,43,6,49,24,19,24,240,,,,,,,,,,,,,,,,,
20600049,2006-11-06 21:00:00,Detroit,Pistons,1610612765,Utah,Jazz,1610612762,0,0,101,103,13,7,4,77,32,0.416,15,5,0.333,41,32,0.78,27,16,43,24,11,-2,240,,,,,,,,,,,,,,,,,
20300602,2004-01-21 21:00:00,New York,Knicks,1610612752,Houston,Rockets,1610612745,0,0,71,86,22,2,6,73,29,0.397,10,3,0.3,15,10,0.667,29,7,36,19,16,-15,240,,,,,,,,,,,,,,,,,
28000390,1980-12-19 20:00:00,Indiana,Pacers,1610612754,Detroit,Pistons,1610612765,0,0,106,109,,,,,44,,,0,,28,18,0.643,,,,28,,-3,240,,,,,,,,,,,,,,,,,
28100711,1982-03-12 20:00:00,New Jersey,Nets,1610612751,Boston,Celtics,1610612738,1,0,109,113,24,,,88,45,0.511,,0,,25,19,0.76,,,34,33,15,-4,240,,,,,,,,,,,,,,,,,
20300757,2004-02-11 21:00:00,Utah,Jazz,1610612762,Minnesota,Timberwolves,1610612750,1,0,66,77,14,9,7,66,25,0.379,9,4,0.444,16,12,0.75,28,7,35,24,19,-11,240,,,,,,,,,,,,,,,,,
21100463,2012-02-19 18:00:00,Cleveland,Cavaliers,1610612739,Sacramento,Kings,1610612758,1,1,93,92,15,7,6,89,32,0.36,22,7,0.318,30,22,0.733,37,19,56,23,12,1,240,,,,,,,,,,,,,,,,,
45000416,1951-04-18 19:00:00,New York,Knicks,1610612752,Rochester,Royals,1610612758,1,1,80,73,21,,,67,27,0.403,,,,39,26,0.667,,,40,30,,7,0,,,,,,,,,,,,,,,,,
